%time,field.data
1547890528739456259,-4.15258789062
1547890528741622196,-4.15258789062
1547890528745853650,-4.15258789062
1547890528747618630,-4.15258789062
1547890528749892062,-4.15258789062
1547890528753813199,-4.15258789062
1547890528756119296,-4.15258789062
1547890528758313942,-4.15258789062
1547890528762216020,-4.15258789062
1547890528763822621,-4.15258789062
1547890528766174034,-4.15258789062
1547890528770057122,-4.15258789062
1547890528772049406,-4.15258789062
1547890528774254278,-4.15258789062
1547890528778354800,-4.15258789062
1547890528780259323,-4.15258789062
1547890528782267877,-4.15258789062
1547890528786615022,-4.15258789062
1547890528788295640,-4.15258789062
1547890528790740509,-4.15258789062
1547890528794611550,-4.15258789062
1547890528796479519,-4.15258789062
1547890528798997935,-4.15258789062
1547890528803029471,-4.15258789062
1547890528805126212,-4.15258789062
1547890528807001166,-4.15258789062
1547890528811118563,-4.15258789062
1547890528813059141,-4.15258789062
1547890528815376176,-4.15258789062
1547890528819283850,-4.15258789062
1547890528821126321,-4.15258789062
1547890528823472669,-4.15258789062
1547890528827432014,-4.15258789062
1547890528829392794,-4.15258789062
1547890528831636300,-4.15258789062
1547890528835674704,-4.15258789062
1547890528837596860,-4.15258789062
1547890528839887738,-4.15258789062
1547890528841755907,-4.15258789062
1547890528844821223,-4.15258789062
1547890528848101657,-4.15258789062
1547890528849890994,-4.15258789062
1547890528853077149,-4.15258789062
1547890528856605371,-4.15258789062
1547890528858529480,-4.15258789062
1547890528862206142,-4.15258789062
1547890528864608485,-4.15258789062
1547890528866960368,-4.15258789062
1547890528869299998,-4.15258789062
1547890528872653974,-4.15258789062
1547890528875100159,-4.15258789062
1547890528877049051,-4.15258789062
1547890528881134817,-4.15258789062
1547890528883209788,-4.15258789062
1547890528885147615,-4.15258789062
1547890528889024165,-4.15258789062
1547890528890857590,-4.15258789062
1547890528893345740,-4.15258789062
1547890528897302747,-4.15258789062
1547890528899045624,-4.15258789062
1547890528901560663,-4.15258789062
1547890528905433989,-4.15258789062
1547890528907488198,-4.15258789062
1547890528909777876,-4.15258789062
1547890528913577203,-4.15258789062
1547890528915482016,-4.15258789062
1547890528918024225,-4.15258789062
1547890528921776557,-4.15258789062
1547890528923434760,-4.15258789062
1547890528925871734,-4.15258789062
1547890528929825746,-4.15258789062
1547890528931460114,-4.15258789062
1547890528933756078,-4.15258789062
1547890528937856379,-4.15258789062
1547890528939410862,-4.15258789062
1547890528942030672,-4.15258789062
1547890528946300086,-4.15258789062
1547890528948209983,-4.15258789062
1547890528950524042,-4.15258789062
1547890528954539946,-4.15258789062
1547890528956412658,-4.15258789062
1547890528958738231,-4.15258789062
1547890528962721749,-4.15258789062
1547890528964716043,-4.15258789062
1547890528966995067,-4.15258789062
1547890528970851638,-4.15258789062
1547890528973013331,-4.15258789062
1547890528975190216,-4.15258789062
1547890528979123841,-4.15258789062
1547890528980923843,-4.15258789062
1547890528983550437,-4.15258789062
1547890528987446967,-4.15258789062
1547890528989290636,-4.15258789062
1547890528991556637,-4.15258789062
1547890528995563378,-4.15258789062
1547890528997427358,-4.15258789062
1547890528999910703,-4.15258789062
1547890529003834505,-4.15258789062
1547890529005780240,-4.15258789062
1547890529008083354,-4.15258789062
1547890529011973592,-4.15258789062
1547890529013943905,-4.15258789062
1547890529016208997,-4.15258789062
1547890529020049221,-4.15258789062
1547890529022025565,-4.15258789062
1547890529024170711,-7.52197265625
1547890529028399560,-7.52197265625
1547890529030448108,-7.52197265625
1547890529032356071,-7.52197265625
1547890529036488206,-7.52197265625
1547890529038389600,-7.52197265625
1547890529040674161,-7.52197265625
1547890529044640149,-7.52197265625
1547890529046519709,-7.52197265625
1547890529048871601,-7.52197265625
1547890529052833701,-7.52197265625
1547890529054586756,-7.52197265625
1547890529057042018,-7.52197265625
1547890529061059807,-7.52197265625
1547890529063121302,-7.52197265625
1547890529065365365,-7.52197265625
1547890529069225010,-7.52197265625
1547890529071041490,-7.52197265625
1547890529073527069,-7.52197265625
1547890529077538984,-7.52197265625
1547890529079291471,-7.52197265625
1547890529081408696,-7.52197265625
1547890529085623886,-7.52197265625
1547890529087419815,-7.52197265625
1547890529089999789,-7.52197265625
1547890529094021855,-7.52197265625
1547890529095799115,-7.52197265625
1547890529098247518,-7.52197265625
1547890529102069234,-7.52197265625
1547890529103791832,-7.52197265625
1547890529106143085,-7.52197265625
1547890529110256181,-7.52197265625
1547890529112017719,-7.52197265625
1547890529114377172,-7.52197265625
1547890529118429936,-7.52197265625
1547890529120484985,-7.52197265625
1547890529122535104,-7.52197265625
1547890529126530485,-7.52197265625
1547890529128388280,-7.52197265625
1547890529130754441,-7.52197265625
1547890529134841726,-7.52197265625
1547890529136620544,-7.52197265625
1547890529138935879,-7.52197265625
1547890529142822863,-7.52197265625
1547890529144755546,-7.52197265625
1547890529147054840,-7.52197265625
1547890529151146244,-7.52197265625
1547890529152906615,-7.52197265625
1547890529155032205,-7.52197265625
1547890529159373874,-7.52197265625
1547890529161389798,-7.52197265625
1547890529163328549,-7.52197265625
1547890529167541121,-7.52197265625
1547890529169262787,-7.52197265625
1547890529171650962,-7.52197265625
1547890529175674104,-7.52197265625
1547890529177564649,-7.52197265625
1547890529179936534,-7.52197265625
1547890529183953604,-7.52197265625
1547890529185782290,-7.52197265625
1547890529187963907,-7.52197265625
1547890529189861508,-7.52197265625
1547890529192980958,-7.52197265625
1547890529196217893,-7.52197265625
1547890529198064362,-7.52197265625
1547890529201138286,-7.52197265625
1547890529204345688,-7.52197265625
1547890529206226611,-7.52197265625
1547890529209524347,-7.52197265625
1547890529212573593,-7.52197265625
1547890529214601125,-7.52197265625
1547890529217845903,-7.52197265625
1547890529220985950,-7.52197265625
1547890529222994178,-7.52197265625
